QKEY,weight,uses_facebook,uses_x,uses_instagram,uses_tiktok,news_facebook,news_x,news_instagram,news_tiktok,fb_why_news,fb_why_entertain,fb_why_social,fb_why_opinion,fb_why_products,fb_why_interests,fb_why_family,tt_why_news,tt_why_entertain,tt_why_social,tt_why_opinion,tt_why_products,tt_why_interests,tt_why_family,fb_pol_content,tt_pol_content,fb_pol_lean,tt_pol_lean,age_group,gender,education,race_ethnicity,party,ideology,income
100363,0.4985859564887961,Yes,No,Yes,No,No,NA,No,NA,NA,NA,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,30-49,Female,Less than high school,White non-Hispanic,Democrat,Liberal,9
100598,0.41499544372907105,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Female,Less than high school,White non-Hispanic,Republican,Moderate,9
100637,0.7091717281375707,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Very conservative,3
100803,0.4048679158569231,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,9
101437,0.5854349381172532,Yes,Yes,No,No,No,No,NA,NA,No,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,65+,Female,High school graduate,White non-Hispanic,Republican,Conservative,2
101493,0.28723291334782325,No,Yes,No,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,High school graduate,Hispanic,Republican,Conservative,8
102198,0.7877762541275735,Yes,No,Yes,No,No,NA,Yes,NA,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,18-29,Female,Less than high school,White non-Hispanic,Republican,Conservative,1
103060,0.4271541872058912,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,High school graduate,White non-Hispanic,Democrat,Liberal,8
103379,1.2014339445920192,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,High school graduate,White non-Hispanic,Republican,Very conservative,9
103519,0.2865740431295708,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
